BUSName,BUSStreetName,BUSPostalCode,BUSCityName,BUSCode,COM_GRPName,BUSCountryCode,BUSCountryName
MINERVA S. A.,"AV. JULIO MULLER 1650, ALA 2 BAIRRO: ALAMEDA",Várzea Grande,Mato Grosso,2015,MM (minced meat and meat preparations),BR,Brazil
PIRAPÓ PARTICIPAÇÕES LTDA,.,Santa Fe,Paraná,4701,Horse meat,BR,Brazil
QUANTO ALIMENTOS INDÚSTRIA E COMÉRCIO LTDA,"RUA VISCONDE DE SÃO LEOPOLDO, 545 BAIRRO: VICENTINA",Sao Leopoldo,Rio Grande do Sul,3766,Dog chews,BR,Brazil
R. R. INDÚSTRIA E COMÉRCIO LTDA,"RUA SÃO DOMINGOS,  500 BAIRRO: QUINTAS",Natal,Rio Grande do Norte,4154,Unique Commodity Code Group for  05119910,BR,Brazil
RIVELLI ALIMENTOS S/A,"ROD. BR 040,  S/Nº,  KM 700 - BAIRRO: CAICARAS",Barbacena,Minas Gerais,3571,Poultry meat preparations,BR,Brazil
Sao Salvador Alimentos S/A,ROD. GO 156 KM ZONA RURAL,Itaberai,Goias,3404,Poultry meat preparations,BR,Brazil
SEARA ALIMENTOS LTDA,"Rod. Waldyr Canevari, Km 6",Nuporanga,São Paulo,2485,MM (minced meat and meat preparations),BR,Brazil
SEARA ALIMENTOS LTDA,Rod. Raposo Tavares Km 177,Itapetininga,São Paulo,4430,MM (minced meat and meat preparations),BR,Brazil
SEARA ALIMENTOS LTDA,"ROD BR-487 SAIDA P/ CRUZEIRO DO OESTE, S/Nº,  KM 185.7 EST. BOIADEIRA LOTE A PARTE 1 NUCLEO RIO, 23 - AREA URBANIZADA II",Campo Mourao,Paraná,2694,PM (fresh meat of poultry and lagomorphs),BR,Brazil
SEARA ALIMENTOS LTDA,"ROD SC 281 S/Nº, KM 06, PARTE 1 - COLONIA SANTANA",São José,Santa Catarina,3742,Poultry meat preparations,BR,Brazil
Seara Alimentos Ltda,"Rua Sao Bonifacio 1301, Bairro: Santa Teresa, CEP: 89.896-000",Itapiranga,Santa Catarina,576,Poultry meat preparations,BR,Brazil
SEARA ALIMENTOS LTDA,"BR 116, S/Nº  Bairro: GLEBA SÃO LOURENÇO Município: ITAIÓPOLIS",Itaiopolis,Santa Catarina,3837,Poultry meat preparations,BR,Brazil
SHB COMERCIO E INDUSTRIA DE ALIMENTOS S. A.,"AV. SOS PIONEIROS, 2510 - CENTRO",Carambei,Paraná,424,Fresh poultry meat,BR,Brazil
SHB COMERCIO E INDUSTRIA DE ALIMENTOS S. A.,"AV. SOS PIONEIROS, 2510 - CENTRO",Carambei,Paraná,424,"meat and edible offal of poultry, CN 0207",BR,Brazil
SHB COMERCIO E INDUSTRIA DE ALIMENTOS S. A.,"FRANCISCO BERNARDES DE ASSIS,  200 BAIRRO:JARDIM BRASILIA",Uberlandia,Minas Gerais,121,MM (minced meat and meat preparations),BR,Brazil
SHB COMERCIO E INDUSTRIA DE ALIMENTOS S. A.,AVENIDA ATTILIO FONTANA KM 04 S/Nº BAIRRO: PINHEIRINHO,Francisco Beltrao,Paraná,2518,MM (minced meat and meat preparations),BR,Brazil
SHB COMERCIO E INDUSTRIA DE ALIMENTOS S. A.,AVENIDA ATTILIO FONTANA KM 04 S/Nº BAIRRO: PINHEIRINHO,Francisco Beltrao,Paraná,2518,PM (fresh meat of poultry and lagomorphs),BR,Brazil
