BUSName,BUSStreetName,BUSPostalCode,BUSCityName,BUSCode,COM_GRPName,BUSCountryCode,BUSCountryName
Golden Fish,"Route de Sidi Salem, Km 4, CP 3000",Sfax,Sfax,412,"heavy metals susceptible fish, molluscs, crustaceans",TN,Tunisia
Jalta Export,"Port de pêche, Zarzouna, CP 7021",Zarzouna,Bizerte,203,FFP (fishery products),TN,Tunisia
M. A. Trad,.,Port De Zarzouna,Bizerte,P.U 200,LBM (live bivalve molluscs),TN,Tunisia
Maristar,.,Gargour,Sfax,PU 401,LBM (live bivalve molluscs),TN,Tunisia
Mer Bleu Mahrès,.,Mahres,Sfax,PU 409,LBM (live bivalve molluscs),TN,Tunisia
Mer Bleue Tapes,.,Smara,Sfax,PU 405,LBM (live bivalve molluscs),TN,Tunisia
Mohamed Aoundi,"Port de  pêche, Zarzouna, CP 7021",Zarzouna,Bizerte,201,"heavy metals susceptible fish, molluscs, crustaceans",TN,Tunisia
S.D.T.,"Zone Industrielle, CP 8090",Kelibia,Nabeul,326,"FFP, excluding molluscs and crustaceans",TN,Tunisia
Sté Cap Langouste,.,Zarzouna,Bizerte,253,heavy metal susceptible fish,TN,Tunisia
Sté Trad del Produits de la Mer,.,Bizerte,Bizerte,205,"heavy metals susceptible fish, molluscs, crustaceans",TN,Tunisia
Akivamar Su Ürünleri San. Ve Tic. Ltd. Sti.,.,Lapseki,Canakkale,TR 17 60 516,LBM (live bivalve molluscs),TR,Turkey
Artur Balikçilik Ltd. Sti. Su Ürünleri Dezenfekte ve Aritma Tesisleri,.,Ayvalik,Balikesir,TR 10 60 205,LBM (live bivalve molluscs),TR,Turkey
Dibo G'da Ve Tekstil San.Tic.Ltd.'ti. Yem ''letmesi,Central street,Istambul,Istanbul,? TR-3400099,Dog chews,TR,Turkey
Fulya Evcil Hayvan Ürünleri 'thalat 'hracat San. Tic. Ltd. 'ti. Köpek Çi'neme Ürünleri ''letmesi,Deri Karma OSB 10. Cadde No:38,Usak,Usak,?TR-6400072,Unique Commodity Code Group for  230990,TR,Turkey
Kiris Gida Maddeleri Su Ürünleri Sanayi Ve Ticaret Anonim Sirketi,.,Torbali,Izmir,TR 35-0568,Sulphites group: crustaceans,TR,Turkey
Rima' Deri G'da Ve Hayvan Ürünleri San. Ve Tic. Ltd. 'ti. Köpek Çi'neme Ürünü ''letmesi,Heleke Mah. Re'adiye Sokak No:118/A,Tarsus,Mersin,?TR-3300068,"Petfood, CN 230910",TR,Turkey
"Zeus Packing, Inc.",.,Gloucester,Massachusetts,3003920119,FFP (fishery products),US,United States
FRIGORIFICO SARUBBI (SIRSIL S.A),Coronel Raíz 2764,Montevideo,Montevideo,85,"Bovine meat, fresh",UY,Uruguay
C.A. PROCESADORA PROPESCA,"AV. 5 PPAL. SAN FRANCISCO EL BAJO No 260, MUNICIPIO SAN FRANCISCO",San Francisco,Zulia,SPES-140,Sulphites group: crustaceans,VE,Venezuela
Cadovimex Seafood Import Export And Processing Joint Stock Company (Cadovimex - Vietnam),.,Phu Tan,Ca Mau,DL 72,"heavy metals susceptible fish, molluscs, crustaceans",VN,Viet Nam
Canning Factory - Special Aquatic Products Joint Stock Company (SEASPIMEX - VIETNAM),.,Binh Chanh District,Ho Chi Minh City,DH 137,FFP (fishery products),VN,Viet Nam
Hai Vuong Company Limited (HAVUCO),"Lot B, road No.1, Suoi Dau industrial zone, Cam lam district, Khanh Hoa province",Cam Lam,Khanh Hoa,DL 318,Fresh tuna,VN,Viet Nam
"Hong Ngoc Seafood Co.,Ltd","Lot B3, Hoa Hiep industrial zone",Dong Hoa,Phu Yen,DL 609,"heavy metals susceptible fish, molluscs, crustaceans",VN,Viet Nam
"HONGPHUC SEAFOODS COMPANY LIMITED (HP SEAFOODS CO., LTD)",.,My Tho,Tien Giang,DL 759,FFP (fishery products),VN,Viet Nam
Khanh Hoa Canned Food Co. Ltd. (Khacanfood),"1A rd, Cu Thanh hamlet",Dien Khanh,Khanh Hoa,DH 603,FFP (fishery products),VN,Viet Nam
LAM SON Import-Export Foodstuff Joint stock company - LAMSON FIMEXCO,"Tay Son St, Quang Trung ward",Qui Nhon,Binh Dinh,DL 100,"Crustaceans, farmed, CN 0306/1605",VN,Viet Nam
"Minh Quy Seafoods Co., Ltd.","Lot 14, Tan My Chanh I.G., ward 9",My Tho,Tien Giang,DL 737,FFP (fishery products),VN,Viet Nam
Phu Thanh Seafoods Foodstuffs - Phu Thanh Seafoods,.,Chau Thanh A,Hau Giang,DL 327,FFP (fishery products),VN,Viet Nam
Phu Thuan An Seafoods Joint Stock Company (PTA-Seafood),.,Phu Vang,Thua Thien-Hue,DL 225,"Crustaceans, farmed, CN 0306/1605",VN,Viet Nam
"QUOC VIET SEAPRODUCTS PROCESSING TRADING & IMPORT-EXPORT CO.,LTD - FACTORY II (QUOC VIET CO., LTD ' FACTORY II)","444 Ly Thuong Kiet street, ward 6, Ca Mau city ",Ca Mau,Ca Mau,DL 786,FFP (fishery products),VN,Viet Nam
QVD Aquaculture Joint Stock Company,"Lot C, Sa Dec industrial zone, Tan Quy Dong ward",Sa Dec,Dong Thap,DL 376,FFP (fishery products),VN,Viet Nam
Tan Phat Foods Corporation (Edison Foods),.,Ben Luc,Long An,TS 754,FFP (fishery products),VN,Viet Nam
The Light Factory,.,Nha Trang,Khanh Hoa,DL 573,"Tuna fillets, CN 0304",VN,Viet Nam
"Tin Thinh Co., Ltd","Lot F1, Suoi Dau IZ",Cam Lam,Khanh Hoa,DL 385,heavy metal susceptible fish,VN,Viet Nam
"Tin Thinh Co., Ltd","Lot F1, Suoi Dau IZ",Cam Lam,Khanh Hoa,DL 385,"heavy metals susceptible fish, molluscs, crustaceans",VN,Viet Nam
Trang Khanh Trading Company Limited (TRANG KHANH SEAFOOD Co. Ltd),99 Lo Ren St,Bac Lieu,Bac Lieu,DL 343,FFP (fishery products),VN,Viet Nam
Trung Son Seafood Processing And Exporting Factory-Dried Workshop Branch 3 (Trung Son Pte),.,Tan Thanh,Ba Ria-Vung Tau,HK 439,FFP (fishery products),VN,Viet Nam
Workshop I and Workshop value - Ha Noi - Can Tho seafood Joint stock company (HACASEAFOOD),.,O Mon,Can Tho City,DL 68,FFP (fishery products),VN,Viet Nam
"Workshop III, Tra Kha Seafoods Processing, Minh Hai Joint-Stock Seafoods Processing Co.-Seaprodex Mi",.,Bac Lieu,Bac Lieu,DL 204,"Processed crustaceans, molluscs, CN 1605",VN,Viet Nam
Alwadi Central Coldstorage Co. Ltd,.,Mukalla,Hadramout,12,FFP (fishery products),YE,Yemen
ZIM CRAYFISH,.,Kariba,Mashonaland West,ZW12,"Crustaceans, chilled, CN 0306",ZW,Zimbabwe
