BUS Name,BUS Street Name,BUS City Name,BUS Postal Code,BUS Code,COM_GRP Name,CNTRY Code,CNTRY Name
M/s. Coastal Aqua Private Limited,.,Kruthivennu Mandal,Andhra Pradesh,1862,"Shrimps, CN 0306",IN,India
"M/s. Nagahanuman Fish Packers, Unit-1",.,Kavurivaripalem,Andhra Pradesh,1837,"Shrimps, CN 0306",IN,India
Quoc Viet Seaproducts Processing Trading and Import Export Corporation-Factory II (QUOC VIET CORPORATION - FACTORY II),"Plot No. 1003, GIDC Estate, Pin-362269",Veraval,Gujarat,1177,"heavy metals susceptible fish, molluscs, crustaceans",IN,India
Sarl Es-Saada,150 Champajhar Malipada,Khurda,Orissa,470,"Crustaceans, farmed, CN 0306/1605",IN,India
SEIDECOSA SKINCARE INDIA PVT LTD.,"KESHWAPURA POST - 562102, SIDLAGAHATTA JILLA, CHICABALLUR TALUK",Karnataka,Karnataka,CAPEXIL/SR/PAC/ABP-PET/1516/072,Unique Commodity Code Group for  05119190,IN,India
SHB COMERCIO E INDUSTRIA DE ALIMENTOS S. A.,.,Mumbai,Maharashtra,1108,Aquaculture fishery products,IN,India
Soon Yi Superfrozen Company Limited,.,Bhimavaram,Andhra Pradesh,924,FFP (fishery products),IN,India
Thaprobane Seafoods (Pvt.) Ltd.,.,Taloja,Maharashtra,276,"Shrimps, CN 0306",IN,India
Workshop I And Workshop Value - Ha Noi - Can Tho Seafood Joint Stock Company (HACASEAFOOD),"R.S.No. 626/1, Dirusumaru Road, P.B.No. 52, Bhimavaram, West Godavari Disrict 534239",Godavari,Andhra Pradesh,920,"Shrimps, CN 0306",IN,India
Marine Biotechnology Products Ltd,"Jl. Kig Raya Selatan Kav C-5, Kawasan Industri, Gresik",Gresik,Jawa Timur,295.13.B/C,heavy metal susceptible fish,ID,Indonesia
Pesca Gharb,"Jl. Muncul Industri II Gedangan, Sidoarjo",Sidoarjo,Jawa Timur,431.13.A/B,Fresh tuna,ID,Indonesia
"HONGPHUC SEAFOODS COMPANY LIMITED (HP SEAFOODS CO., LTD)","North Industrial Zone Building, 67 Kiryat Shmona 10200",Kiryat Shmona,HaZafon,IL00001329,Unique Commodity Code Group for  04090000,IL,Israel
"P.N. Marine Foods Products Co., Ltd.",MILOUOT INDUSTRIAL ZONE,Asherat,HaZafon,2001,Unique Commodity Code Group for  230990,IL,Israel
Adelaide Pearl,.,Kuching,Sarawak,31,FFP (fishery products),MY,Malaysia
IMS BRAZIL LTDA,.,Port Louis,Port Louis,CA-SF/PP/02/MU,Unique Commodity Code Group for  23012000,MU,Mauritius
M/s S.K. Exports (Pvt) Limited,"AVE. PLATEROS NO.708 ZACATECAS, FRESNILLO.  MEXICO",Fresnillo,Zacatecas ,E-42,"Horse meat, CN 0205",MX,Mexico
Trang Khanh Trading Company Limited (TRANG KHANH SEAFOOD Co. Ltd),"FUNDIDORES NO. 103, PARQUE INDUSTRIAL CHICHIMECO, JESÃšS MARÃA, AGUASCALIENTES, C.P. 20900",Jesus Maria,Aguascalientes,838,"Petfood, CN 230910",MX,Mexico
"Asian Alliance International Co., Ltd.",BP 52 Port de pÃªche LaÃ¢youne,LaÃ¢youne,LaÃ¢youne-Sakia El Hamra,2604,FFP (fishery products),MA,Morocco
CIPOMAAH ENT.,"266, ancien port de pÃªche",Agadir,Souss - Massa,3976,FFP (fishery products),MA,Morocco
R. R. INDÃšSTRIA E COMÃ‰RCIO LTDA,PORT DE PECHE MEHDIA,Mehdia,Rabat - SalÃ© - KÃ©nitra,3287,Sulphites group: crustaceans,MA,Morocco
"Anqing AHCOF Food Co., Ltd",Adelaide Pearl,Auckland,Auckland,L44616,"heavy metals susceptible fish, molluscs, crustaceans",NZ,New Zealand
"Marpesca Packers, S.A.",.,Panama,Cocle,192,"FFP, excluding molluscs and crustaceans",PA,Panama
Kiris Gida Maddeleri Su ÃœrÃ¼nleri Sanayi Ve Ticaret Anonim Sirketi,.,Dakar,Dakar,007/14/CE,"heavy metals susceptible fish, molluscs, crustaceans",SN,Senegal
RKC TANNERY COMPANY LIMITED,Beogradski put 23,Subotica,Severno-baÄki okrug,RS 34-001,Dog chews,RS,Serbia
M/s Wellcome Fisheries Ltd.,"Bubulawatta, Haldanduwana",Dankotuwa,North Western Province,DFAR/FPE/98/16,Fresh tuna,LK,Sri Lanka
PT. Kelola Mina Laut,.,Aleppo,Halab,181,Unique Commodity Code Group for  05040000,SY,Syrian Arab Republic
Thinh Hung Co. Ltd,39 Yugang South 1st Rd,Qianzhen District,Kaohsiung City,7F3F001,"heavy metals susceptible fish, molluscs, crustaceans",TW,Taiwan
Alandlouse Co. For Fish Processor,"8/8 Moo 3, Rama 2 Road, Banbor",Mueang Samut Sakhon,Samut Sakhon,2071,"Preserved tuna, CN 1604",TH,Thailand
"Better Foods Co., Ltd.","150 Moo 7, Tandiew",Kaeng Khoi,Saraburi,23,Fresh poultry meat,TH,Thailand
"CPF (Thailand) Public Co., Ltd.",..,Muang,Samut Sakhon,3076,Prepared fish 1604,TH,Thailand
ELMASREYA FOUNDATION FOR IMPORT & EXPORT,.,Chana,Songkhla,2072,Prepared fish 1604,TH,Thailand
Fulya Evcil Hayvan ÃœrÃ¼nleri Ä°thalat Ä°hracat San. Tic. Ltd. Åžti. KÃ¶pek Ã‡iÄŸneme ÃœrÃ¼nleri Ä°ÅŸletmesi,"339/3 M.2 Puttharaksa Rd., Taiban, Muang Samutprakarn",Muang,Samut Prakan,VCN.117,Uncanned petfood 2309 10,TH,Thailand
GFPT Nichirei (Thailand) Company Limited,.,Muang,Samut Sakhon,3132,FFP (fishery products),TH,Thailand
Hainan Brich Aquatic Products Co. Ltd.,"333,333/1-2 Moo 9, Sikhiu-Det Udom Road, Thayiem",Chokchai,Nakhon Ratchasima,139,Poultry meat preparations,TH,Thailand
IMS BRAZIL LTDA,"198 Moo 4, Hang Sung",Nong Yai,Chon Buri,201,PM (fresh meat of poultry and lagomorphs),TH,Thailand
QUANTO ALIMENTOS INDÃšSTRIA E COMÃ‰RCIO LTDA,"339/1 MOO 2, PUTTHARAKSA ROAD, TAIBAN",Muang,Samut Prakan,VCN. 26,Dog chews,TH,Thailand
SEARA ALIMENTOS LTDA,"150 Moo 7, Tandiew",Kaeng Khoi,Saraburi,23,Poultry meat preparations,TH,Thailand
"Shandong Changhua Industrial Development Co., Ltd.","120/9 Moo7, Jedsada-Sundab Kokkharm",Mueang Samut Sakhon,Samut Sakhon,3056,FFP (fishery products),TH,Thailand
SHB COMERCIO E INDUSTRIA DE ALIMENTOS S. A.,"1/1 MOO 5, T. MONNANG ",Phanat Nikhom,Chon Buri,79,Poultry meat preparations,TH,Thailand
Sopraval S.A.,4/2 MOO7 SOI SUKHAPIBAL2 BUDHAMONTHON5 ROAD OMNOI  ,Krathumban,Samut Sakhon,10,Poultry meat preparations,TH,Thailand
"Thoreka Co., Ltd.",.,Si Racha,Chon Buri,109,Poultry meat preparations,TH,Thailand
"Tin Thinh Co., Ltd",69 MOO 6 Muak Lek-Wang Muang Rd. Kampran,Wang Muang,Saraburi,25,Poultry meat preparations,TH,Thailand
"WINNER STORE Co., Ltd","339/3 M.2 Puttharaksa Rd., Taiban, Muang Samutprakarn",Muang,Samut Prakan,VCN.117,Unique Commodity Code Group for  4205,TH,Thailand
Trang Khanh Trading Company Limited (TRANG KHANH SEAFOOD Co. Ltd),.,Teboulba,Monastir,618,"Shrimps, CN 0306",TN,Tunisia
"WUJIXIAN YIDA PET PRODUCTS CO.,LTD",.,Zarzouna,Bizerte,253,heavy metal susceptible fish,TN,Tunisia
Hai Vuong Company Limited (HAVUCO),.,Torbali,Izmir,TR 35-0568,Sulphites group: crustaceans,TR,Turkey
Sarl NASTORMARE,.,YÃ¼regir,Adana,TR 01-0058,FFP (fishery products),TR,Turkey
"Siam International Food Co., Ltd.",Deri Karma OSB 10. Cadde No:38,Usak,Usak,Î±TR-6400072,Unique Commodity Code Group for  230990,TR,Turkey
PROTEINAS DE ECUADOR ECUAPROTEIN S.A.,411 N. Nordic,Petersburg,Alaska,3013647,FFP (fishery products),US,United States
"Chaijinda Seafood Co., Ltd.","AV. 5 PPAL. SAN FRANCISCO EL BAJO No 260, MUNICIPIO SAN FRANCISCO",San Francisco,Zulia,SPES-140,Sulphites group: crustaceans,VE,Venezuela
Fulya Evcil Hayvan ÃœrÃ¼nleri Ä°thalat Ä°hracat San. Tic. Ltd. Åžti. KÃ¶pek Ã‡iÄŸneme ÃœrÃ¼nleri Ä°ÅŸletmesi,.,Ben Luc,Long An,TS 754,FFP (fishery products),VN,Viet Nam
"Hairoad Food Zhejiang Co., Ltd.",.,Bac Lieu,Bac Lieu,DL 204,"Processed crustaceans, molluscs, CN 1605",VN,Viet Nam
"Hong Ngoc Seafood Co.,Ltd",99 Lo Ren St,Bac Lieu,Bac Lieu,DL 343,FFP (fishery products),VN,Viet Nam
HUNGVUONG FOOD PROCESSING EXPORT COMPANY (FPREXCO-HV),"Lot B3, Hoa Hiep industrial zone",Dong Hoa,Phu Yen,DL 609,"heavy metals susceptible fish, molluscs, crustaceans",VN,Viet Nam
JBS S/A,"Tay Son St, Quang Trung ward",Qui Nhon,Binh Dinh,DL 100,"Crustaceans, farmed, CN 0306/1605",VN,Viet Nam
M/s Integrated Rubian Exports Ltd.,"444 Bis, Ly Thuong Kiet Street, Sub-ward 9, Ward 6",Ca Mau,Ca Mau,DL 786,FFP (fishery products),VN,Viet Nam
M/s Jayalakshmi Seafoods Pvt Ltd,"LOT 2.17, TRA NOC INDUSTRIAL PARK 2",O Mon,Can Tho City,DL 68,FFP (fishery products),VN,Viet Nam
Nantong Hongda Casing Co. Ltd.,"Lot B, road No.1, Suoi Dau industrial zone",Cam Lam,Khanh Hoa,DL 318,Fresh tuna,VN,Viet Nam
"Pritipaul Singh Investment Inc. ""Mid Atlantic""","LOT F9-F10 SUOI DAU INDUSTRIAL ZONE, CAM LAM DIST.",Cam Lam,Khanh Hoa,DL 526,FFP (fishery products),VN,Viet Nam
PT. Marindo Makmur Usahajaya,"Lot C, Sa Dec industrial zone, Tan Quy Dong ward",Sa Dec,Dong Thap,DL 376,FFP (fishery products),VN,Viet Nam
RIVELLI ALIMENTOS S/A,Quang Phu Industrial Zone,Quang Ngai,Quang Ngai,DL 388,FFP (fishery products),VN,Viet Nam
Sasu Su Ve Tarim Urunleri Gida Tekstil Sanayi Ticaret A.S.,.,My Tho,Tien Giang,DL 759,FFP (fishery products),VN,Viet Nam
SOPASEN ENTREPOT,.,Phu Vang,Thua Thien-Hue,DL 225,"Crustaceans, farmed, CN 0306/1605",VN,Viet Nam
Tarek Shanun,"Lot F1, Suoi Dau IZ",Cam Lam,Khanh Hoa,DL 385,heavy metal susceptible fish,VN,Viet Nam
"WINNER STORE Co., Ltd","Lot 21-23, 8th Street, Tan Tao Industrial park, Binh Tan District, Ho Chi Minh city",Binh Tan  District,Ho Chi Minh City,DL 798,FFP (fishery products),VN,Viet Nam
Zuf Globus Ltd.,"1A rd, Cu Thanh hamlet",Dien Khanh,Khanh Hoa,DH 603,FFP (fishery products),VN,Viet Nam
M/s Alps Ice & Cold Storage Pvt. Ltd.,.,Mukalla,Hadramout,12,FFP (fishery products),YE,Yemen
