BUS Name,BUS Street Name,BUS City Name,BUS Postal Code,BUS Code,COM_GRP Name,CNTRY Code,CNTRY Name
AVENORTE AVICOLA CIANORTE LTDA,"65, rue Colonel Lotfi",Maghnia,Tlemcen,13417,Sulphites group: crustaceans,DZ,Algeria
"Icicle Seafoods, Inc. (Petersburg Fisheries)",Zone Industrielle Sidi Salem,El Bouni,Annaba,23445,heavy metal susceptible fish,DZ,Algeria
Shampa Ice & Cold Storage Ltd.,"01, Quai dâ€™Arcachon port dâ€™Alger",Alger,Alger,16404,"heavy metals susceptible fish, molluscs, crustaceans",DZ,Algeria
Complexe Frigorifique El Mustapha,"REPUBLICA DEL LIBANO 4279, QUILMES",Quilmes,Buenos Aires,4061,Dog chews,AR,Argentina
Faenadora San Vicente Ltda.,CNO. MATADERO MUNICIPAL S/NÂ° MANZANA 1,Concepcion Del Uruguay,Entre Rios,1610,Poultry meat preparations,AR,Argentina
"OCEAN BLUE CO., LTD",.,San Jose,Entre Rios,2589,Poultry meat preparations,AR,Argentina
"Pescados, Camarones Y Mariscos S.A. DOCAPES","RUTA NÂº1 KM 83,5",General Pico,La Pampa,3295,"Flours, meals and pellets, CN 2301 and 230990",AR,Argentina
Trang Khanh Trading Company Limited (TRANG KHANH SEAFOOD Co. Ltd),Saenz PeÃ±a 1595,Villa Gobernador Galvez,Santa Fe,4592,Dog chews,AR,Argentina
"Thai Poultry Group Co., Ltd.",.,Bagerhat,Khulna,BAG-83,"heavy metals susceptible fish, molluscs, crustaceans",BD,Bangladesh
BRF S. A.,"ROD. BR 040,  S/NÂº,  KM 700 - BAIRRO: CAICARAS",Barbacena,Minas Gerais,3571,Poultry meat preparations,BR,Brazil
C. Vale - Cooperativa Agroindustrial,"AV. JULIO MULLER 1650, ALA 2 BAIRRO: ALAMEDA",VÃ¡rzea Grande,Mato Grosso,2015,MM (minced meat and meat preparations),BR,Brazil
COASUL Cooperativa Agroindustrial,.,Sao Joao,ParanÃ¡,802,Poultry meat preparations,BR,Brazil
COOPERATIVA CENTRAL AURORA ALIMENTOS,.,Mandaguari,ParanÃ¡,664,Poultry meat preparations,BR,Brazil
"Dalian Shenghua Sea Food Co., Ltd.",Rod. Raposo Tavares Km 177,Itapetininga,SÃ£o Paulo,4430,MM (minced meat and meat preparations),BR,Brazil
Goncalves & Tortola S/A,.,Palotina,ParanÃ¡,3300,Poultry meat preparations,BR,Brazil
"Hubei Chuyu Food Co., Ltd.",.,Maringa,ParanÃ¡,4166,Poultry meat preparations,BR,Brazil
"Industria Atunera Centroamericana, S.A.","ESTRADA PARA FECULA KM 04 LOTES, 905 A 910 - BAIRRO: ZONA RURAL CEP: 87.212-899",Cianorte,ParanÃ¡,4232,Unique Commodity Code Group for  051199,BR,Brazil
JBS Aves Ltda,"FRANCISCO BERNARDES DE ASSIS,  200 BAIRRO:JARDIM BRASILIA",Uberlandia,Minas Gerais,121,MM (minced meat and meat preparations),BR,Brazil
"Liwon Ent. Ltd., P.M.B.",Rodovia GO 164,Mozarlandia,Goias,4507,"Meat product, CN 0504",BR,Brazil
M/s HMG Industries Ltd.,"AV. SOS PIONEIROS, 2510 - CENTRO",Carambei,ParanÃ¡,424,"meat and edible offal of poultry, CN 0207",BR,Brazil
MARFRIG GLOBAL FOODS S.A.,"Rua Felipe Muliterno 505, Bairro: Vila Matos, CEP: 99.060-000",Passo Fundo,Rio Grande do Sul,922,Poultry meat preparations,BR,Brazil
"PANUS POULTRY GROUP CO., LTD.","Rod. Waldyr Canevari, Km 6",Nuporanga,SÃ£o Paulo,2485,Poultry meat preparations,BR,Brazil
Phu Thuan An Seafoods Joint Stock Company (PTA-Seafood),"Rua Armendio Ferraz de Abreu, 229 - Barirro: UniÃ£o",Estancia Velha,Rio Grande do Sul,229,Dog chews,BR,Brazil
QUANTO ALIMENTOS INDÃšSTRIA E COMÃ‰RCIO LTDA,"RUA VISCONDE DE SÃƒO LEOPOLDO, 545 BAIRRO: VICENTINA",Sao Leopoldo,Rio Grande do Sul,3766,Dog chews,BR,Brazil
SEARA ALIMENTOS LTDA,"RUA SÃƒO DOMINGOS,  500 BAIRRO: QUINTAS",Natal,Rio Grande do Norte,4154,Dog chews,BR,Brazil
SEARA ALIMENTOS LTDA,"ROD 369 KM 177, S/NÂº BAIRRO: ZONA RURAL  CEP: 86.605-310",Rolandia,ParanÃ¡,1215,Poultry meat preparations,BR,Brazil
StÃ© Cap Langouste,"BR 116, S/NÂº  Bairro: GLEBA SÃƒO LOURENÃ‡O MunicÃ­pio: ITAIÃ“POLIS",Itaiopolis,Santa Catarina,3837,Poultry meat preparations,BR,Brazil
VZS StoÄna Hrana Doo,"Rod. GO 341, Km 2,5",Mineiros,Goias,1010,MM (minced meat and meat preparations),BR,Brazil
M/s Cochin Frozen Food Exports Pvt Ltd,.,Cap Pele,New Brunswick,1207,smoked fish,CA,Canada
Granja Tres Arroyos S.A.,.,La Calera,V Valparaiso,05-Sep,Poultry meat preparations,CL,Chile
Las Camelias S.A.,.,San Vicente De Tagua Tagua,VI Libertador General Bernardo O'Higgins,06-Aug,Poultry meat preparations,CL,Chile
Alwadi Central Coldstorage Co. Ltd,.,Rizhao,Shandong,3700/02595,Surimi and products under CN 160420,CN,China
CAÃ‘ADAS SRL,.,Jinzhou District,Dalian,2100/02016,Surimi and products under CN 160420,CN,China
GFPT Nichirei (Thailand) Company Limited,.,Zhoushan,Zhejiang,3300/02252,"heavy metals susceptible fish, molluscs, crustaceans",CN,China
Khanh Hoa Canned Food Co. Ltd. (Khacanfood),"No.13 Nange Road Leather, Manufacturing Zone, Tengjiao Pingjang, Zheijiang, China",Zhejiang,Zhejiang,3300PF029,Unique Commodity Code Group for  230910,CN,China
M/s Unitriveni Overseas,.,Harbin,Heilongjiang,2300/05001,Casing for HC,CN,China
"Nanyang Boyang Breeding Co., Ltd.","Dafuzhuang village, Huangtaigang town, Wancheng district, Nanyang, Henan, China. ",Nanyang,Henan,4100AF042,Unique Commodity Code Group for  05119190,CN,China
PINGYANG HUAXING LEATHER & PLASTIC CO LTD,.,Qiyuan City,Shangdong,3700/03089,Rabbit meat,CN,China
QVD Aquaculture Joint Stock Company,.,Honghu,Hubei,4200/02020,FFP (fishery products),CN,China
RAANAN FISH FEED LTD,8 Liyu Rd,Rugao,Jiangsu,3200/05102,Unique Commodity Code Group for  05040000,CN,China
RKC TANNERY COMPANY LIMITED,ECONOMIC DEVELOPMENT AREA OF ZHANG JIA WO TOWN XIQING DISTRICT TIANJIN,Tianjin,Tianjin,1200AF018,Unique Commodity Code Group for  05119190,CN,China
SEARA ALIMENTOS LTDA,.,Jinzhou District,Dalian,2100/29020,Surimi and products under CN 160420,CN,China
"Subproductos Animales De MÃ©xico, S.A. De C.V.","No.1, Guilinyang Development Zone",Haikou,Hainan,4600/02038,FFP (fishery products),CN,China
Tan Phat Foods Corporation (Edison Foods),"ANCHENG VILLAGE, WUJITOWN, WUJI COUNTY, SHIJIAZHUANG CITY, HEBEI PROVINCE, CHINA",Shijiazhuang,Hebei,1300PF005,"Petfood, CN 230910",CN,China
Tianjian Yangliang Fish Food Industries Co Ltd,.,Jingmen,Hubei,4200/02040,"Processed crustaceans, CN 1605",CN,China
"Workshop III, Tra Kha Seafoods Processing, Minh Hai Joint-Stock Seafoods Processing Co.-Seaprodex Mi",.,Anqing,Anhui,3400/02037,FFP (fishery products),CN,China
"CPF (Thailand) Public Co., Ltd.","Av. 3era. Oeste 542, Mapasingue ",Guayaquil,Guayas,62,Prepared fish 1604,EC,Ecuador
M/s Jagadeesh Marine Exports,EL MALECON DE SANTA ROSA P.O. BOX 9631,Salinas,Guayas,197,"heavy metals susceptible fish, molluscs, crustaceans",EC,Ecuador
M/s. Southern Tropical Foods Pvt. Ltd.,"Barrio Puerto Chanduy, Solar 1 Bloque 5 referencia ubicada frente a escuela San AgustÃ­n",Chanduy,Santa Elena,6903,"heavy metals susceptible fish, molluscs, crustaceans",EC,Ecuador
NABADI S.R.L.,LotizaciÃ³n Fincas Vacacionales Las Brisas  Solar 19,Duran,Guayas,PH - 3152,Unique Commodity Code Group for  23012000,EC,Ecuador
Botsford Fisheries Ltd,2nd Industrial Zone B2 - Piece C1 - Part C,10 Ramadan City,Sharkia,015.F.I,"heavy metals susceptible fish, molluscs, crustaceans",EG,Egypt
Euro S.A.,.,New Damiatta City,Domiatta,057.F.I,"heavy metals susceptible fish, molluscs, crustaceans",EG,Egypt
M/S. ASVINI FISHERIES PRIVATE LIMITED,.,Tema,Greater Accra,GSB/SF/E855,Smoked FFP,GH,Ghana
"Shandong Haida Foods Co., Ltd.",ABEHENEASE AREA,Ashaiman,Greater Accra,GS/SF/E105,Smoked FFP,GH,Ghana
Sicogetram,.,Kpone,Greater Accra,GS/SF/E006,heavy metal susceptible fish,GH,Ghana
M/s Royale Marine Impex Pvt. Ltd.,Escuintla,Escuintla,Escuintla,EEH-GT-05-05-001-131,Unique Commodity Code Group for  23012000,GT,Guatemala
M/s Aftab Marine Exports,Mc. Doom,Georgetown,Demerara-Mahaica,SP/004,FFP (fishery products),GY,Guyana
9 MAR S.A. NUEVEMARSA,.,Aroor,Kerala,1535,"heavy metals susceptible fish, molluscs, crustaceans",IN,India
ANUM INTERNATIONAL,"F-2, SITE-II, INDUSTRIAL AREA,",Unnao,Uttar Pradesh,CAPEXIL/NR/PAC/ABP-PET/1516/042,"Petfood, CN 230910",IN,India
"CPF (Thailand) Public Co., Ltd.","1-164, Patharlagadda",Kakinada,Andhra Pradesh,1866,FFP (fishery products),IN,India
Empacadora De Carnes De Fresnillo S.A De CV,"1-174, KOMARADA ROAD",Rayalam Village,Andhra Pradesh,999,"Shrimps, CN 0306",IN,India
Gel Fish,.,Kakkanad,Kerala,678,"heavy metals susceptible fish, molluscs, crustaceans",IN,India
HeiLongJiang YuanGuang Casing Co. Ltd,"1/136 VANDRAM VILLAGE, UNDI MANDAL",Bhimavaram,Andhra Pradesh,934,FFP (fishery products),IN,India
HeiLongJiang YuanGuang Casing Co. Ltd,.,Mandapam,Tamil Nadu,826,"Shrimps, CN 0306",IN,India
Industria Conservera De La Pesca Cia. Ltda. (Incopes),.,Bitragunta,Andhra Pradesh,1861,"Shrimps, CN 0306",IN,India
J.S. INTERNATIONAL,"B-15 TO B-31, UPSIDC INDUSTRIAL AREA, LEATHER TECHNOLOGY PARK, BANTHAR, ",Unnao,Uttar Pradesh,CAPEXIL/NR/PAC/ABP-PET/1516/032,"Petfood, CN 230910",IN,India
LAM SON Import-Export Foodstuff Joint stock company - LAMSON FIMEXCO,"AArookutty Ferry Road, IV/475",Aroor,Kerala,658,"FFP, excluding molluscs and crustaceans",IN,India
M/s Baby Marine (Eastern) Exports,"C-21/6, MIDC TTC Arca, Pawne",Vashi,Maharashtra,234,"Shrimps, CN 0306",IN,India
M/s Integrated Rubian Exports Ltd.,.,Aroor,Kerala,1535,"Processed crustaceans, CN 1605",IN,India
M/s Milesh Marine Exports Pvt. Ltd.,.,Anandapuram,Andhra Pradesh,1856,"Crustaceans, farmed, CN 0306/1605",IN,India
M/s Naik Frozen Foods Pvt. Ltd.,"246, LEWIS ROAD",Bhubaneswar,Orissa,396,"Shrimps, CN 0306",IN,India
